id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
190700,boardgame,b'Team Yankee',b'2015',b'2',b'0',b'0',b'120',b'0',b'14',b'52',b'7.325',b'5.56074',b'166',b'1',b'2',b'11',b'9',b'0',b'0'
6194,boardgame,b'Home Alone',b'1991',b'2',b'4',b'30',b'30',b'30',b'8',b'32',b'4.54688',b'5.47714',b'130',b'11',b'2',b'13',b'14',b'1',b'1'
89610,boardgame,"b""Mr. M' s""",b'2009',b'2',b'6',b'45',b'45',b'45',b'10',b'52',b'6.09692',b'5.52038',b'56',b'0',b'1',b'4',b'10',b'3',b'3.6667'
8114,boardgame,b'Matrix',b'1979',b'2',b'2',b'10',b'10',b'10',b'0',b'8',b'3.5625',b'0',b'24',b'1',b'0',b'1',b'7',b'1',b'2'
22907,boardgame,"b""Dragons' Derby""",b'1994',b'3',b'4',b'30',b'30',b'30',b'14',b'10',b'4.3',b'0',b'22',b'2',b'0',b'2',b'3',b'0',b'0'
16990,boardgame,"b""Blue's Clues Game""",b'1998',b'2',b'4',b'0',b'0',b'0',b'3',b'26',b'4.25',b'0',b'78',b'7',b'0',b'0',b'22',b'6',b'1'
75877,boardgame,b'TEG Independencia',b'2010',b'2',b'6',b'240',b'240',b'240',b'14',b'20',b'7.085',b'0',b'30',b'0',b'2',b'7',b'6',b'1',b'3'
175730,boardgame,b'Surviving: One month in',b'2015',b'2',b'4',b'90',b'20',b'90',b'11',b'50',b'5.3066',b'5.48539',b'154',b'19',b'1',b'20',b'30',b'1',b'2'
19842,boardgame,b'Alpen Roulette',b'1965',b'1',b'10',b'5',b'5',b'5',b'5',b'52',b'5.00577',b'5.48105',b'127',b'9',b'1',b'0',b'31',b'6',b'1'
129091,boardgame,b'Trainmaker',b'2012',b'1',b'6',b'15',b'15',b'15',b'8',b'274',b'6.34173',b'5.62556',b'807',b'45',b'18',b'58',b'88',b'13',b'1.3077'
204675,boardgame,b'The Arrival',b'2016',b'2',b'4',b'90',b'75',b'90',b'12',b'357',b'6.69944',b'5.74513',b'736',b'55',b'48',b'281',b'111',b'16',b'2.625'
7985,boardgame,b'Wolfsspuren',b'2003',b'3',b'6',b'90',b'90',b'90',b'12',b'27',b'5.76519',b'0',b'55',b'3',b'1',b'0',b'8',b'4',b'2.75'
690,boardgame,b'Singapore',b'1984',b'2',b'2',b'120',b'120',b'120',b'12',b'88',b'6.3908',b'5.54074',b'451',b'30',b'5',b'18',b'74',b'17',b'2.4118'
203800,boardgame,b'Dust 1947',b'2016',b'2',b'8',b'120',b'60',b'120',b'10',b'101',b'7.42668',b'5.60429',b'158',b'2',b'4',b'40',b'32',b'9',b'2.5556'
165283,boardgame,b'Battleship',b'2014',b'2',b'2',b'15',b'15',b'15',b'7',b'64',b'5.1675',b'5.47549',b'292',b'1',b'0',b'2',b'18',b'3',b'1'
103341,boardgame,b'Dunger Derby the Board Game',b'2011',b'2',b'5',b'45',b'45',b'45',b'6',b'14',b'6.5',b'0',b'39',b'5',b'0',b'0',b'7',b'2',b'1'
41585,boardgame,b'FlipOut',b'2009',b'2',b'5',b'15',b'15',b'15',b'8',b'166',b'6.04392',b'5.55613',b'350',b'15',b'12',b'49',b'69',b'12',b'1.0833'
49423,boardgame,b'Woosh!',b'2009',b'3',b'5',b'15',b'15',b'15',b'8',b'23',b'6.01087',b'0',b'34',b'3',b'0',b'3',b'11',b'0',b'0'
138703,boardgame,b'Wendy Pferdebasar',b'2009',b'2',b'5',b'45',b'45',b'45',b'8',b'13',b'6.82308',b'0',b'22',b'1',b'3',b'8',b'9',b'0',b'0'
166532,boardgame,b'Cubo',b'2014',b'2',b'4',b'20',b'20',b'20',b'8',b'256',b'5.699',b'5.52665',b'704',b'50',b'1',b'31',b'91',b'11',b'1.6364'
249,boardgame,b'Lifeboats',b'1993',b'3',b'6',b'90',b'90',b'90',b'12',b'3341',b'6.58425',b'6.25922',b'3553',b'127',b'335',b'1036',b'1100',b'274',b'1.7883'
173322,boardgame,b'Character Quest: Heroes The Card Game  Game Pack #2: Savage Beasts',b'2015',b'2',b'4',b'0',b'10',b'0',b'10',b'6',b'6.16667',b'0',b'35',b'0',b'0',b'1',b'1',b'1',b'2'
88881,boardgame,b'Zoo Yatzy',b'2011',b'2',b'99',b'10',b'10',b'10',b'4',b'30',b'4.53667',b'5.47834',b'64',b'1',b'0',b'2',b'13',b'1',b'1'
40402,boardgame,b'Arabian Nights',b'2009',b'2',b'5',b'45',b'45',b'45',b'0',b'12',b'6.75',b'0',b'36',b'1',b'0',b'16',b'6',b'0',b'0'
16566,boardgame,b'Insider Trading',b'2002',b'2',b'6',b'0',b'0',b'0',b'9',b'7',b'7.42857',b'0',b'26',b'0',b'3',b'7',b'1',b'3',b'3.6667'
352,boardgame,b'Trumpet',b'1990',b'2',b'6',b'45',b'45',b'45',b'9',b'526',b'6.1136',b'5.66059',b'981',b'62',b'16',b'56',b'213',b'59',b'1.4576'
120605,boardgame,b'Neuroshima: Convoy',b'2012',b'2',b'2',b'40',b'30',b'40',b'10',b'915',b'6.76413',b'5.98698',b'2188',b'174',b'43',b'269',b'277',b'48',b'2.5833'
6268,boardgame,b'Maze',b'1982',b'2',b'2',b'30',b'30',b'30',b'12',b'29',b'6.52414',b'0',b'66',b'4',b'5',b'10',b'14',b'1',b'2'
