id,details.name,attributes.boardgamecategory,attributes.boardgamemechanic,yearpublished,minplayers,maxplayers,playingtime,users_rated,average_rating,bayes_average_rating,total_weights,average_weight
1,Die Macher,"Economic,Negotiation,Political","Area Control / Area Influence,Auction/Bidding,Dice Rolling,Hand Management,Simultaneous Action Selection",1986,3,5,240,4905,7.62308,7.15896,737,4.3433
2,Dragonmaster,"Card Game,Fantasy",Trick-taking,1981,3,4,30,532,6.60636,5.81084,54,1.963
3,Samurai,"Abstract Strategy,Medieval","Area Control / Area Influence,Hand Management,Set Collection,Tile Placement",1998,2,4,60,13922,7.44238,7.25035,1416,2.4958
4,Tal der Könige,Ancient,"Action Point Allowance System,Area Control / Area Influence,Auction/Bidding,Set Collection",1992,2,4,60,327,6.60924,5.7078,30,2.6667
5,Acquire,Economic,"Hand Management,Stock Holding,Tile Placement",1964,2,6,90,17465,7.34697,7.17281,1573,2.506
6,Mare Mediterraneum,"Civilization,Nautical",Dice Rolling,1989,2,6,240,78,6.53654,5.55569,7,3
7,Cathedral,Abstract Strategy,"Area Enclosure,Pattern Building,Pattern Recognition,Tile Placement",1978,2,2,20,3090,6.5089,6.16174,272,1.8051
8,Lords of Creation,"Civilization,Fantasy",Modular Board,1993,2,5,120,193,6.1401,5.58051,15,2.4
9,El Caballero,Exploration,"Area Control / Area Influence,Tile Placement",1998,2,4,90,1346,6.47162,5.97519,147,3.1905
10,Elfenland,"Fantasy,Travel","Card Drafting,Hand Management,Point to Point Movement,Route/Network Building",1998,2,6,60,7624,6.72858,6.52165,682,2.1628
11,Bohnanza,"Card Game,Farming,Negotiation","Hand Management,Set Collection,Trading",1997,2,7,45,35470,7.03956,6.94076,2721,1.6748
12,Ra,"Ancient,Mythology","Auction/Bidding,Press Your Luck,Set Collection",1999,2,5,60,18132,7.46924,7.32253,1722,2.3496
13,Catan,Negotiation,"Dice Rolling,Hand Management,Modular Board,Route/Network Building,Trading",1995,3,4,120,90832,7.17283,7.01411,7015,2.3327
14,Basari,Negotiation,"Roll / Spin and Move,Set Collection,Simultaneous Action Selection",1998,3,4,25,1577,6.75779,6.18386,179,1.8603
15,Cosmic Encounter,"Bluffing,Negotiation,Science Fiction","Hand Management,Variable Player Powers",1977,2,6,90,3788,6.9116,6.48381,424,2.3656
16,MarraCash,Economic,Auction/Bidding,1996,3,4,60,913,6.82204,6.0416,93,2.1505
17,Button Men,"Collectible Components,Dice,Fighting,Print & Play","Dice Rolling,Press Your Luck",1999,2,2,5,784,6.35644,5.79225,73,1.5342
18,RoboRally,"Miniatures,Racing,Science Fiction","Action / Movement Programming,Grid Movement,Modular Board,Simultaneous Action Selection",1994,2,8,120,21677,7.09313,6.96461,1699,2.4308
19,Wacky Wacky West,"American West,Bluffing,City Building","Tile Placement,Voting",1991,2,4,45,1646,6.30211,5.92776,155,1.8452
20,Full Metal Planète,Science Fiction,Action Point Allowance System,1988,2,4,90,688,7.48419,6.13399,59,3.1525
22,Magic Realm,"Adventure,Exploration,Fantasy","Action / Movement Programming,Modular Board,Rock-Paper-Scissors,Role Playing,Simultaneous Action Selection,Variable Player Powers",1979,1,16,240,1908,7.1778,6.41667,365,4.5178
23,Divine Right,"Fantasy,Political,Wargame","Dice Rolling,Hex-and-Counter,Variable Phase Order",1979,2,6,360,535,7.07628,5.87586,70,3.1857
24,Twilight Imperium,"Civilization,Negotiation,Political,Science Fiction,Space Exploration,Wargame","Dice Rolling,Hex-and-Counter,Modular Board,Tile Placement,Variable Player Powers,Voting",1997,2,6,240,678,6.64843,5.84693,52,3.4808
26,Age of Renaissance,"Civilization,Economic,Medieval,Renaissance","Area Movement,Auction/Bidding",1996,3,6,300,2083,7.09848,6.42343,270,3.8593
27,Supremacy,"Economic,Political,Wargame","Commodity Speculation,Dice Rolling",1984,2,6,340,1303,5.61775,5.49573,116,3.1293
28,Illuminati:  Deluxe Edition,"Card Game,Humor,Negotiation,Political","Card Drafting,Dice Rolling,Route/Network Building,Tile Placement,Variable Player Powers",1987,2,8,180,4700,6.49662,6.20284,421,2.6508
29,Terrain Vague,"Fighting,Humor","Action Point Allowance System,Modular Board",1993,2,4,120,68,6.65662,5.55741,8,3.25
30,Dark Tower,"Adventure,Electronic,Exploration,Fantasy,Fighting","Area Movement,Press Your Luck",1981,1,4,90,1190,6.75424,5.97722,95,1.8105
31,Dark World,"Adventure,Exploration,Fantasy,Fighting,Miniatures","Dice Rolling,Grid Movement",1991,2,5,90,700,5.28249,5.40409,52,1.9231
34,Arkham Horror,"Adventure,Horror,Novel-based",Co-operative Play,1987,1,8,180,504,6.61936,5.76077,46,2.3043
36,Federation & Empire,"Science Fiction,Wargame",Hex-and-Counter,1986,2,8,300,387,6.34367,5.65751,62,4.4032
40,Borderlands,"Bluffing,Civilization,Fantasy,Negotiation,Political","Area Movement,Trading",1982,2,4,120,264,6.76967,5.68362,22,2.7727
41,Can't Stop,Dice,"Dice Rolling,Press Your Luck",1980,2,4,30,11296,6.85666,6.69881,859,1.1595
