id,name,yearpublished,minplayers,maxplayers,playingtime,users_rated,average_rating,bayes_average_rating,total_weights,average_weight
2901,b'GolfMania',b'1997',b'2',b'6',b'20',b'232',b'5.13384',b'5.44794',b'24',b'1.25'
93577,b'Rocket Jockey',b'2012',b'2',b'4',b'60',b'145',b'5.65241',b'5.5153',b'19',b'2.1579'
4976,b'Derby Days',b'1989',b'2',b'4',b'20',b'41',b'4.99244',b'5.48453',b'3',b'1'
169675,"b""L'osti d'jeu""",b'2014',b'3',b'12',b'40',b'219',b'6.21279',b'5.5917',b'9',b'1'
8046,b'Alien Space Battle Manual',b'1973',b'2',b'8',b'90',b'38',b'7.02632',b'5.52994',b'5',b'2.2'
16620,b'Domination',b'2005',b'2',b'4',b'30',b'83',b'4.93133',b'5.46732',b'7',b'1.1429'
138317,b'Trains and Stations',b'2013',b'3',b'5',b'45',b'823',b'5.83465',b'5.6246',b'56',b'1.8214'
1254,b'Crack the Case',b'1993',b'2',b'8',b'60',b'504',b'5.93702',b'5.60465',b'34',b'1.5882'
1301,b'Netrunner',b'1996',b'2',b'2',b'45',b'2267',b'7.45082',b'6.68241',b'206',b'2.9223'
5511,b'Southern Front',b'1984',b'2',b'2',b'360',b'224',b'7.41605',b'5.75371',b'28',b'3.3929'
38355,b'Scene It? Star Trek',b'2009',b'2',b'12',b'30',b'213',b'5.9662',b'5.55616',b'5',b'1.6'
97377,b'Hail Caesar',b'2011',b'2',b'8',b'240',b'78',b'7.45897',b'5.59591',b'14',b'3'
89569,b'Uskoci: A Card Game of Croatian Pirates',b'2010',b'2',b'6',b'30',b'91',b'5.53956',b'5.48019',b'17',b'1.5294'
110962,b'Shadow Days',b'2012',b'2',b'4',b'30',b'38',b'3.71053',b'5.45299',b'3',b'1.3333'
7491,b'Princess',b'1986',b'2',b'4',b'20',b'84',b'5.83393',b'5.51376',b'8',b'1.125'
2596,b'Villa Paletti',b'2001',b'2',b'4',b'30',b'3887',b'6.46193',b'6.20039',b'332',b'1.1566'
129322,b'Kaijudo',b'2012',b'2',b'2',b'20',b'91',b'6.03297',b'5.52594',b'6',b'1.6667'
4952,"b'Trivial Pursuit: TV Edition  4,800 Questions and Answers'",b'1992',b'2',b'6',b'60',b'84',b'5.29881',b'5.48488',b'9',b'2'
110102,b'Siberia',b'2011',b'2',b'4',b'60',b'341',b'6.80186',b'5.76382',b'28',b'2.3929'
10640,b'Doom: The Boardgame',b'2004',b'2',b'4',b'180',b'4935',b'6.86499',b'6.49107',b'609',b'2.908'
194879,b'Not Alone',b'2016',b'2',b'7',b'45',b'6506',b'7.06294',b'6.75322',b'128',b'1.9453'
4616,b'Arimaa',b'2002',b'2',b'2',b'60',b'618',b'7.25831',b'5.98314',b'62',b'3.5161'
42207,b'Super Circles',b'2009',b'2',b'4',b'5',b'150',b'5.92741',b'5.54063',b'8',b'1'
13703,b'The Game of Life: Pirates of the Caribbean',b'2004',b'2',b'6',b'45',b'156',b'4.975',b'5.43889',b'5',b'1.2'
8446,b'Campaigns in the Valley',b'1988',b'2',b'2',b'120',b'43',b'5.85814',b'5.50365',b'10',b'2.6'
81588,b'OMEGA',b'2010',b'2',b'4',b'30',b'36',b'7.08611',b'5.53411',b'4',b'3.5'
87871,b'Bra$ilis',b'2010',b'3',b'6',b'60',b'30',b'5.38333',b'5.49286',b'5',b'1.4'
24565,b'Magical Athlete',b'2002',b'4',b'5',b'60',b'983',b'6.48318',b'5.90369',b'77',b'1.3117'
10634,b'Napoleon and the Archduke Charles: The Battle of Abensberg',b'1987',b'2',b'2',b'90',b'79',b'5.98481',b'5.52484',b'9',b'2.6667'
40800,b'Miss Poutine',b'2009',b'4',b'8',b'15',b'162',b'6.16204',b'5.56567',b'12',b'1.1667'
748,b'Trax',b'1980',b'2',b'2',b'10',b'513',b'6.51075',b'5.7649',b'54',b'2.1481'
4831,b'NFL Strategy',b'1970',b'2',b'2',b'150',b'197',b'6.81513',b'5.64783',b'20',b'2.25'
192458,b'51st State: Master Set',b'2016',b'1',b'4',b'90',b'4119',b'7.67531',b'7.09222',b'130',b'2.9385'
76319,b'Unusual Suspects',b'2009',b'2',b'4',b'10',b'62',b'4.73387',b'5.46447',b'3',b'1'
5060,b'Caesar in Alexandria',b'2001',b'2',b'2',b'300',b'134',b'6.88396',b'5.62008',b'14',b'3'
24988,b'Lie Detector: The Crime Solving Card Game',b'2006',b'2',b'2',b'15',b'68',b'4.98338',b'5.47582',b'15',b'1.4667'
11889,b'End of the Iron Dream',b'1985',b'1',b'4',b'0',b'57',b'6.81579',b'5.54462',b'9',b'2.6667'
434,"b""Yucata'""",b'1996',b'2',b'4',b'30',b'476',b'5.8285',b'5.58073',b'51',b'1.7059'
16144,b'Fruit Spy',b'2005',b'3',b'5',b'20',b'549',b'5.82',b'5.58554',b'71',b'1.2676'
4916,"b'Great War at Sea: 1904-1905, The Russo-Japanese War'",b'1999',b'2',b'4',b'30',b'136',b'6.62279',b'5.58885',b'25',b'2.44'
11168,b'Flames of War: The World War II Miniatures Game',b'2002',b'2',b'2',b'120',b'820',b'7.09302',b'6.04403',b'106',b'3.283'
193238,b'Tunisia II',b'2016',b'1',b'2',b'3000',b'141',b'8.51631',b'5.75021',b'9',b'4.4444'
1174,b'Minister',b'1975',b'2',b'4',b'60',b'130',b'4.89154',b'5.445',b'11',b'1.2727'
154086,b'Gold West',b'2015',b'2',b'4',b'60',b'2032',b'7.43154',b'6.66758',b'69',b'2.4638'
175223,b'Valley of the Kings: Afterlife',b'2015',b'1',b'4',b'45',b'1552',b'7.32298',b'6.46255',b'51',b'2.2745'
203427,b'Fabled Fruit',b'2016',b'2',b'5',b'30',b'4375',b'7.0732',b'6.68985',b'91',b'1.5824'
1578,b'RoadKill',b'1993',b'2',b'10',b'90',b'286',b'5.89983',b'5.5626',b'37',b'2.3784'
16443,b'Dungeoneer: Dragons of the Forsaken Desert',b'2005',b'2',b'4',b'60',b'501',b'6.28255',b'5.69621',b'51',b'2.1961'
21754,b'Nottingham',b'2006',b'3',b'7',b'30',b'1433',b'6.26068',b'5.89384',b'171',b'1.6023'
174182,b'Force of Will',b'2014',b'2',b'2',b'30',b'207',b'7.03647',b'5.67745',b'11',b'2.9091'
15830,b'Scene It? Disney',b'2004',b'2',b'12',b'30',b'413',b'5.51603',b'5.47855',b'21',b'1.619'
2868,b'Eye',b'1987',b'1',b'4',b'30',b'56',b'4.08571',b'5.44487',b'6',b'2.3333'
19048,b'The Nacho Incident',b'2005',b'2',b'4',b'45',b'246',b'5.99532',b'5.57819',b'33',b'1.9394'
65225,b'Road Kill Rally',b'2010',b'3',b'6',b'90',b'923',b'6.40551',b'5.85379',b'80',b'2.05'
191473,b'Speed Dice',b'2014',b'2',b'4',b'15',b'65',b'5.71385',b'5.51016',b'5',b'1.2'
4491,b'Cave Troll',b'2002',b'2',b'4',b'60',b'3468',b'6.42176',b'6.13284',b'322',b'1.9752'
175468,b'Foe Hunters',b'2016',b'1',b'6',b'90',b'47',b'6.78277',b'5.51777',b'2',b'2.5'
12750,b'1860: Railways on the Isle of Wight',b'2004',b'2',b'4',b'240',b'553',b'7.96483',b'6.23599',b'69',b'4.1159'
23378,"b""Cold War Battles: Budapest '56 & Angola '87""",b'2006',b'2',b'2',b'180',b'62',b'6.71081',b'5.54844',b'8',b'2.5'
13771,b'Hellfire Pass',b'1985',b'2',b'2',b'180',b'51',b'6.42843',b'5.52873',b'10',b'2.6'
3302,b'Machu Picchu',b'1998',b'2',b'4',b'40',b'49',b'4.90469',b'5.47915',b'3',b'1.6667'
43080,b'Miksi juuri Mntsl...?',b'2009',b'2',b'6',b'20',b'41',b'6.09024',b'5.51689',b'5',b'1.4'
108344,b'Might & Magic Heroes',b'2012',b'2',b'4',b'180',b'542',b'6.63317',b'5.78402',b'41',b'3.3171'
197408,b'Phalanxx',b'2016',b'1',b'4',b'60',b'159',b'6.92774',b'5.63687',b'7',b'2.4286'
121958,b'Sky Traders',b'2012',b'2',b'5',b'180',b'630',b'6.15508',b'5.66656',b'45',b'2.7778'
2447,b'World War II: European Theater of Operations',b'1985',b'2',b'5',b'1200',b'236',b'7.18072',b'5.70915',b'47',b'4'
4342,b'Screaming Eagles in Holland',b'2002',b'1',b'2',b'240',b'97',b'7.47371',b'5.62209',b'12',b'3.8333'
2988,b'Sticks & Stones',b'1978',b'1',b'2',b'45',b'137',b'5.94307',b'5.5357',b'11',b'1.7273'
459,b'Ausgebremst',b'1993',b'3',b'6',b'45',b'236',b'6.89191',b'5.69901',b'28',b'1.6071'
9464,b'Teenage Mutant Ninja Turtles: Pizza Power Game',b'1987',b'2',b'4',b'20',b'208',b'4.78697',b'5.39227',b'7',b'1.2857'
