avg_rate,geek_rate,id,num_votes,title
8.85,8.585,174430,30949,Shop
8.63,8.472,161936,34553,Shop
8.42,8.267,167791,47899,Shop
8.50,8.236,182028,18168,Shop
8.62,8.199,224517,9871,Shop
8.68,8.168,233078,9282,Shop
8.31,8.162,12333,36537,Shop
8.43,8.156,187645,18867,Shop
8.51,8.140,220308,11910,Shop
8.26,8.101,169786,46248,Shop
8.28,8.095,193738,23003,Shop
8.45,8.064,115746,11117,Shop
8.32,8.030,162886,16018,Shop
8.17,8.023,120677,34856,Shop
8.13,8.011,84876,40040,Shop
8.11,7.980,173346,46775,Shop
8.37,7.979,180263,12734,Shop
8.11,7.944,124361,22779,Shop
8.15,7.935,28720,16607,Shop
8.12,7.922,183394,21456,Shop
8.20,7.918,205637,20960,Shop
8.02,7.903,3076,58733,Shop
8.18,7.894,177736,13434,Shop
8.10,7.891,96848,25052,Shop
8.08,7.881,164928,18039,Shop
8.05,7.880,102794,25356,Shop
8.18,7.870,175914,11325,Shop
8.10,7.869,266192,20606,Shop
7.97,7.868,31260,59383,Shop
8.12,7.858,205059,19610,Shop
8.01,7.827,170216,28540,Shop
8.74,7.815,55690,6577,Shop
8.20,7.809,221107,8894,Shop
7.88,7.787,2651,52238,Shop
8.09,7.785,209010,12211,Shop
7.97,7.774,25613,17271,Shop
8.05,7.772,164153,18061,Shop
7.92,7.770,126163,26549,Shop
8.06,7.759,237182,13657,Shop
7.92,7.749,72125,24820,Shop
7.87,7.742,230802,37611,Shop
7.88,7.738,35677,24220,Shop
8.03,7.720,216132,11128,Shop
7.93,7.720,171623,17130,Shop
7.88,7.717,121921,29261,Shop
8.50,7.713,167355,6104,Shop
7.88,7.692,124742,25216,Shop
8.10,7.685,185343,8763,Shop
7.77,7.674,68448,74255,Shop
7.76,7.663,28143,42509,Shop
7.84,7.654,122515,16980,Shop
7.85,7.648,62219,16608,Shop
8.11,7.644,159675,6586,Shop
7.80,7.643,18602,25385,Shop
7.76,7.637,110327,41178,Shop
7.77,7.627,157354,27975,Shop
8.02,7.626,125153,7880,Shop
7.81,7.622,201808,21085,Shop
7.86,7.618,12493,17644,Shop
7.77,7.613,93,22078,Shop
7.94,7.612,205896,12761,Shop
7.84,7.610,146021,25739,Shop
7.92,7.595,172386,9567,Shop
7.73,7.593,40834,28217,Shop
7.67,7.584,178900,56933,Shop
7.74,7.583,37111,31008,Shop
7.69,7.579,163412,37811,Shop
8.18,7.577,161533,5091,Shop
7.76,7.574,73439,16292,Shop
7.83,7.569,521,10340,Shop
7.96,7.568,229853,8099,Shop
8.48,7.561,192135,3836,Shop
7.70,7.557,132531,23041,Shop
7.79,7.557,144733,13057,Shop
7.78,7.557,2511,14706,Shop
8.04,7.554,191189,6967,Shop
